run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_pretrained_encoder_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246389529.16747-452248b0-4180,dinov2_pretrained_t2w_2025-07-27_10-05-52,finished,2025-07-27T10:06:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246389529.16747-452248b0-4180,,8964b99f-79d6-448f-8ebd-917627825d03,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,True,0.5,0.6875808238983154,0.6391892433166504,0.512499988079071,0.3518238663673401,0.9743854403495787,1.0,1.0,1.0,1.0,0.3264598250389099,1.0,1.0,1.0,1.0,0.3474874496459961,32431,1500.0,1753643199.580387,300.0,3.1471622649714703e-10,67800.0,,,,,,,,,,,,,,,
7246388797.93183-2bfa0bed-3d0a,brainiac_pretrained_t2w_2025-07-27_10-23-29,finished,2025-07-27T10:23:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246388797.93183-2bfa0bed-3d0a,,eb8a26e0-503b-4e54-b859-3dced85d07f5,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6884402632713318,0.6540540456771851,0.5854729413986206,0.5162764191627502,0.9899297952651978,0.982585906982422,0.9822787046432496,0.9340155124664308,0.9335957765579224,0.40991657972335815,0.9973484873771667,0.9972280263900756,0.9729729890823364,0.9736111164093018,0.3754643201828003,38199,1500.0,1753650027.084283,300.0,3.1471622649714703e-10,17100.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246388433.69529-dbd284f8-4ab1,brainiac_scratch_t2w_2025-07-27_10-29-35,finished,2025-07-27T10:29:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246388433.69529-dbd284f8-4ab1,,42f68259-f9f6-4fe6-9132-7e99965cacc8,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6883224844932556,0.6587837934494019,0.512499988079071,0.3518238663673401,1.247411608695984,0.9563494920730592,0.9553046226501464,0.8881439566612244,0.8888911008834839,0.4658582806587219,0.900606632232666,0.8988219499588013,0.6794871687889099,0.6378883123397827,0.7820819616317749,37971,1500.0,1753650164.1533408,300.0,3.1471622649714703e-10,17100.0,0.2,,,,,,,,,,,,,,
7246388065.69726-e941c4b5-5c94,mri_core_pretrained_t2w_2025-07-27_10-36-30,finished,2025-07-27T10:36:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246388065.69726-e941c4b5-5c94,,29afdfe4-5bdb-4ca0-9922-1abb5d681242,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,0.6104734539985657,0.5425675511360168,0.6229729652404785,0.5722222328186035,1.2060538530349731,1.0,1.0,1.0,1.0,0.3266923427581787,1.0,1.0,1.0,1.0,0.3276790678501129,64846,1500.0,1753677455.8170133,300.0,3.1471622649714703e-10,67800.0,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,,,,,,,
7246387359.31875-2ad0c2f6-4536,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-27_10-46-27,finished,2025-07-27T10:46:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246387359.31875-2ad0c2f6-4536,,6ca8f5e8-5af5-442b-95b0-269517c8a143,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.5638223886489868,0.5222972631454468,0.5834459662437439,0.5333333611488342,0.8565701842308044,0.997613787651062,0.9974907636642456,0.995412826538086,0.9955682158470154,0.34081795811653137,0.999323844909668,0.9993070363998412,0.9871795177459716,0.9868398308753968,0.33722782135009766,25949,1500.0,1753639166.615324,300.0,3.1471622649714703e-10,8700.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246221859.60752-739875cf-b551,resenc_time_conditioned_pretrained_t2w_2025-07-29_08-52-04,finished,2025-07-29T08:52:47Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246221859.60752-739875cf-b551,,09218a02-2e49-4e75-876a-fb6a835d7024,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.7089352607727051,0.6858108043670654,0.5614864826202393,0.4641081690788269,1.042047142982483,0.9964153170585632,0.9964714050292968,0.995726466178894,0.9955710172653198,0.3347329795360565,1.0,1.0,1.0,1.0,0.3260411322116852,23158,1500.0,1753802326.117434,300.0,3.1471622649714703e-10,17100.0,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246151489.92155-19767440-7e66,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-30_04-14-03,finished,2025-07-30T04:14:39Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246151489.92155-19767440-7e66,,64b41896-9ff5-4c3b-b836-785bc0205f58,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,False,epochwise,,,0.2,0.580661952495575,0.5510135293006897,0.558445930480957,0.4965440034866333,1.022307515144348,0.996415376663208,0.9964714050292968,0.995726466178894,0.9955710172653198,0.3425653576850891,1.0,1.0,0.9871795177459716,0.9868398308753968,0.340844064950943,16456,1000.0,1753865334.6479502,200.0,3.8076210902182607e-10,45200.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246149544.03489-aa3da344-2d2c,resenc_time_conditioned_pretrained_t2w_2025-07-30_04-53-35,finished,2025-07-30T04:54:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246149544.03489-aa3da344-2d2c,,2e1fe341-c7e1-4d9b-95e7-52f28604875b,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.64940345287323,0.6351351737976074,0.612500011920929,0.5360544323921204,0.98842591047287,1.0,1.0,0.995412826538086,0.9955682158470154,0.3312160074710846,0.9797040224075316,0.9785169959068298,0.92099791765213,0.92099791765213,0.4338735342025757,18999,1000.0,1753870253.4925983,200.0,3.8076210902182607e-10,45200.0,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246128326.57133-2ed25095-52e8,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-30_10-50-23,finished,2025-07-30T10:51:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246128326.57133-2ed25095-52e8,,ca5395c2-eff3-46a7-87c6-3c78802a12f4,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,False,epochwise,,,0.2,0.5462487936019897,0.4996621608734131,0.5854729413986206,0.5162764191627502,0.9996010661125184,0.9968503713607788,0.9968634843826294,0.995726466178894,0.9955710172653198,0.3408609926700592,0.9915339946746826,0.9909909963607788,0.9864864945411682,0.9868215322494508,0.3497284948825836,16035,1000.0,1753888723.5022936,200.0,3.8076210902182607e-10,45200.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246127235.93525-ec83f2c8-519c,resenc_time_conditioned_pretrained_t2w_2025-07-30_10-58-09,finished,2025-07-30T10:58:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2w/runs/7246127235.93525-ec83f2c8-519c,,cf2e4582-2d33-4917-bb92-31333aa5615c,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,men_vs_met,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.6659271717071533,0.6371622085571289,0.550000011920929,0.4272727370262146,1.1000913381576538,1.0,1.0,0.995412826538086,0.9955682158470154,0.33099210262298584,0.9934894442558287,0.9930700063705444,0.9480249881744384,0.9473684430122375,0.386196494102478,18959,1000.0,1753892081.487295,200.0,3.8076210902182607e-10,45200.0,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
