run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dropout_prob,config_use_brainiac_preprocessing,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977284.51248-005acc6d-0725,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_04-41-44,finished,2025-08-01T04:42:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245977284.51248-005acc6d-0725,,eb053b4f-b5f2-4299-aa7b-6f1ce60c49fa,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.835074782371521,0.8276596069335938,0.6948328018188477,0.6990740299224854,0.6075223088264465,0.9965787529945374,0.9964876174926758,0.966818630695343,0.9673628807067872,0.3620297610759735,0.8905774354934692,0.8989361524581909,0.8434650897979736,0.8410326242446899,0.5517661571502686,22492.0,1000,1754045831.8827882,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976482.24136-9d08addd-0b01,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-19-19,finished,2025-08-01T04:54:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245976482.24136-9d08addd-0b01,,7b52c85b-abea-43b9-bd76-f0d755030661,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.8561250567436218,0.8586626052856445,0.7477203607559204,0.7529908418655396,0.608574390411377,0.9856630563735962,0.9859507083892822,0.9325227737426758,0.9370629787445068,0.39643651247024536,0.9180877208709716,0.9142857193946838,0.8507598638534546,0.855555534362793,0.5029187202453613,25183.0,1161,1754050233.6237197,200,1.5230484360873043e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974683.27908-3102f841-cb9a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_05-27-26,crashed,2025-08-01T05:28:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245974683.27908-3102f841-cb9a,,469d9835-5dbd-4bed-a488-ff1c4d10ca11,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,,,,,,0.6177200675010681,0.6202296018600464,0.5734549164772034,0.5737335085868835,0.7200931906700134,0.8287270069122314,0.8390578031539917,0.5679331421852112,0.4367779493331909,0.7272835373878479,1046.6740922,35,1754027130.5648603,6,7.61904761904762e-06,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973848.61728-7cad0694-f147,resenc_time_conditioned_pretrained_t1gd_2025-08-01_05-37-03,finished,2025-08-01T05:38:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245973848.61728-7cad0694-f147,,406bbcd6-7221-48a6-a778-baef21ac56c3,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.7562022805213928,0.7525836229324341,0.7086626291275024,0.7136201858520508,0.6244831085205078,0.959574282169342,0.960334300994873,0.8898682594299316,0.8948211073875427,0.4402356147766114,0.8475361466407776,0.8465045690536499,0.7869300842285156,0.795714259147644,0.5719382762908936,24515.0,1000,1754051222.532577,200,1.5230484360873043e-09,70200,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972154.75455-73ca9745-80c3,mri_core_pretrained_t1gd_2025-08-01_06-11-09,finished,2025-08-01T06:11:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245972154.75455-73ca9745-80c3,,f98f1c26-d6da-4cc1-a6d3-54401687917c,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5184235572814941,0.5170212984085083,0.5,0.28658536076545715,0.7084788084030151,0.5326685905456543,0.5271360874176025,0.5070921778678894,0.3896568715572357,0.6797015070915222,0.5,0.5,0.5,0.3743315637111664,0.6806594133377075,18496.0,500,1754047194.8000257,100,3.854818796385494e-08,17600,,,False,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,,,
7245971342.38142-c3d2e59b-939a,brainmvp_pretrained_t1gd_2025-08-01_06-20-18,finished,2025-08-01T06:20:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245971342.38142-c3d2e59b-939a,,0290181d-fd55-4067-8f09-c08443eb3c9d,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5563211441040039,0.5682370662689209,0.5,0.3743315637111664,0.6799303293228149,0.6134104132652283,0.6201114654541016,0.529229998588562,0.4826247990131378,0.6644613742828369,0.568119466304779,0.5899696350097656,0.5,0.3743315637111664,0.7053878903388977,8242.0,500,1754037485.1208632,100,3.854818796385494e-08,8800,,,,,cls_token,,,,,,,,,0.2,True,,,,,,,,,,,,,
7245970549.09925-bc43502e-40ec,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-31-49,finished,2025-08-01T06:32:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245970549.09925-bc43502e-40ec,,f9fc701f-3a74-4575-bd77-515b8f892658,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.8220252394676208,0.8170212507247925,0.7158054709434509,0.7214285731315613,0.5993002653121948,0.9447841644287108,0.946605920791626,0.8862714767456055,0.8894017934799194,0.4646286964416504,0.9047502279281616,0.9100304245948792,0.8331307172775269,0.8429530262947083,0.4977404177188874,24791.0,1000,1754054742.352093,200,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969717.95240-bae619e3-f0d0,dinov2_pretrained_t1gd_2025-08-01_06-44-28,finished,2025-08-01T06:44:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245969717.95240-bae619e3-f0d0,,e52fd1ce-70b9-476f-a2a0-dbf4919ebb3f,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,,0.5,0.7070444822311401,0.7021276950836182,0.5,0.28658536076545715,0.7218656539916992,0.753990650177002,0.7910840511322021,0.6981762647628784,0.703797459602356,0.6123258471488953,0.6978775858879089,0.7164133787155151,0.6750760078430176,0.6038076877593994,0.692813515663147,14800.0,500,1754045492.3914585,100,3.854818796385494e-08,17600,,,,,mean,,,,,,,,mean,,True,facebook/dinov2-base,,,,,,,,,,,,
7245968895.71865-9a7daef5-02eb,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_08-08-18,finished,2025-08-01T08:08:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245968895.71865-9a7daef5-02eb,,7db5d2f3-4c9d-4801-a28b-f59e09a50ee2,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8417864441871643,0.8434650897979736,0.7158054709434509,0.7214285731315613,0.6240501999855042,0.988361358642578,0.9878081679344176,0.9478723406791688,0.9494394659996032,0.3896138370037079,0.8935977220535278,0.9206687211990356,0.8721884489059448,0.8810696601867676,0.4866071939468384,23615.0,1000,1754059349.412636,200,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245918508.19234-d5213c2e-46db,resenc_pretrained_t1gd_2025-08-01_21-09-05,finished,2025-08-01T21:10:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_t1gd/runs/7245918508.19234-d5213c2e-46db,,278082ee-bc0f-4b0d-ad04-36404c2ec8ab,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.812241792678833,0.806382954120636,0.7158054709434509,0.7214285731315613,0.6033594608306885,0.9318264722824096,0.9419959783554076,0.8755825757980347,0.8777574896812439,0.46935421228408813,0.8906787633895874,0.8917932510375977,0.8117021322250366,0.8178704977035522,0.5233559012413025,18900.0,1000,1754101516.2715116,200,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
